Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
RHEINMETALL MAN MILITARY VEHICLES,DEU,177575,PROVISION OF SPARES PARTS AND MATERIAL IN SUPPORT OF RMMV EQUIPMENT AND SYSTEMS BOXER GTK,Orders Awarded,2019,Q1Q2
RHEINMETALL MAN MILITARY VEHICLES,DEU,156060,PROVISION OF SPARE PARTS FOR BOXER,Orders Awarded,2019,Q1Q2
RHEINMETALL WAFFE MUNITION,DEU,539976,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
RHEINMETALL WAFFE MUNITION,DEU,1998501,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
RHEINMETALL WAFFE MUNITION,DEU,85000,SUPPLY OF PANZER PZH2000 HOWITZER SPARES,Orders Awarded,2019,Q1Q2
ROSENBAUER DEUTSCHLAND GMBH,DEU,403449,PROVISION OF TRUCK,Orders Awarded,2019,Q1Q2
SAAB DYNAMICS AB  (KARLSKOGA),SWE,5100277,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
SAYRAM INSAAT VE TICARET ANONIM SIR,TUR,4733524,DESIGN AND BUILD  AIRBASE BUNDLE,Orders Awarded,2019,Q1Q2
SAYRAM INSAAT VE TICARET ANONIM SIR,TUR,2427152,MILTARY HIGH SCHOOL RENOVATIONS,Orders Awarded,2019,Q1Q2
SCHROTH SAFETY PRODUCTS GMBH,DEU,81821,PROVISION OF SPARE PARTS BOXER,Orders Awarded,2019,Q1Q2
SELLIER & BELLOT JSC,CZE,85500,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
SEYNTEX NV,BEL,1409252,PROVISION OF EXTREME COLD WEATHER CLOTHING,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,102302,PROVISION OF HAWK SPARES,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,95664,PROVISION OF HAWK CIRCUIT CARD ASSEMBLY,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,1584000,SUPPLY OF MICROCOMPUTER P3 (SPARE PARTS) FOR HAWK SYSTEM,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,134495,PROVISION OF HAWK SPARES,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,97350,PROVISION OF HAWK SPARES,Orders Awarded,2019,Q1Q2
STAR DEMINING LTD,GBR,104142,EXPLOSIVE DETECTION & DUAL PURPOSE DOGS AND SUPPORT EQUIPMENT,Orders Awarded,2019,Q1Q2
TELEGI SRL,ITA,116949,SUPPLY OF RUGGED CONTAINERS FOR MEDICAL UNIT,Orders Awarded,2019,Q1Q2
TELENET NV/SA,BEL,159319,SUPPLY OF FIRE WALL EQUIPMENT,Orders Awarded,2019,Q1Q2
TELENET NV/SA,BEL,159319,SUPPLY OF FIRE WALL EQUIPMENT,Orders Awarded,2019,Q1Q2
AEROEQUIPO LDA,PRT,280000,SUPPLY OF HAZMAT MATERIAL,Outline Agreement,2019,Q1Q2
AFGHAN UNION TRANSPORTATION,AFG,3701690,PROVISION OF RECEIVING  STAGING  DELIVERY AND INSTALLATION SERVICES,Outline Agreement,2019,Q1Q2
AIRBUS HELICOPTERS,FRA,276250,INSPECTION/REPAIR/OVERHAUL OF PROPELLER SHAFT USED ON AS532 COUGAR HELICOPTER,Outline Agreement,2019,Q1Q2
B&S KOPCKE GLOBAL SUPPLY BV,NLD,157000000,PROVISION OF GLOBAL FOOD SUPPLY,Outline Agreement,2019,Q1Q2
ECOLOG DEUTSCHLAND GMBH,DEU,2380621,MINOR NEW WORK TEAM,Outline Agreement,2019,Q1Q2
ECOLOG DEUTSCHLAND GMBH,DEU,331000000,PROVISION OF GLOBAL CATERING OPERATIONS,Outline Agreement,2019,Q1Q2
ECOLOG DEUTSCHLAND GMBH,DEU,157000000,PROVISION OF GLOBAL FOOD SUPPLY,Outline Agreement,2019,Q1Q2
ECOLOG DEUTSCHLAND GMBH,DEU,55000000,PROVISION OF CATERING HUMAN RESOURCES,Outline Agreement,2019,Q1Q2
ECONOCOM PSF SA,LUX,590000,CONSULTANCY SERVICES IN TECHNICAL AND MAINTENANCE SUPPORT,Outline Agreement,2019,Q1Q2
ELBIT SYSTEMS LTD,ISL,50000000,PROVISION OF AMMUNITION,Outline Agreement,2019,Q1Q2
ES-KO (UK) LIMITED,GBR,55000000,PROVISION OF CATERING HUMAN RESOURCES,Outline Agreement,2019,Q1Q2
FACET ITALY,ITA,660000,SUPPLY OF FILTERS COMPONENTS,Outline Agreement,2019,Q1Q2
FEPS GMBH,DEU,331000000,PROVISION OF GLOBAL CATERING OPERATIONS,Outline Agreement,2019,Q1Q2
JEPPESEN UK LTD,GBR,749890,MILPLANNER- OPS DATA- E.CHARTS- ENROUTE & PLOTTING CHARTS- TRAINING SERVICES,Outline Agreement,2019,Q1Q2
KELLY SERVICES SARL,LUX,3750000,MANPOWER SERVICES,Outline Agreement,2019,Q1Q2
KFORCE GOVERNMENT SOLUTIONS INC KGS,USA,49540000,PROVISION OF TRAUMA MANIKINS,Outline Agreement,2019,Q1Q2
MICHELIN,BEL,658600,SUPPLY OF TYRES,Outline Agreement,2019,Q1Q2
NATIONAL INSTRUMENTS CORPORATION,USA,133712,DEPOT LEVEL MAINTENANCE SERVICES AND SOFTWARE MAINTENANCE SUPPORT ON TRANSMITTER CONTROL UNIT.,Outline Agreement,2019,Q1Q2
OVERSEAS SUPPLY SERVICES LTD (OSSL),GBR,2003838,O&M AND CLEANING OF HIGH SECURITY FACILITIES,Outline Agreement,2019,Q1Q2
PAGE EUROPA SRL,ITA,500000,DLM  OSM  PDS ON ADP EQUIPMENT OF GAG/GM SHELTERS,Outline Agreement,2019,Q1Q2
PRECIA MOELEN SERVICES,FRA,1950000,SUPPLY OF SCALES,Outline Agreement,2019,Q1Q2
QINETIQ LTD,GBR,1693193,MLRS SAFETY SUPPORT CONSULTANCY,Outline Agreement,2019,Q1Q2
RANDSTAD BELGIUM NV,BEL,7500000,INTERIM MANPOWER SUPPORT,Outline Agreement,2019,Q1Q2
RANDSTAD INTERIM,LUX,3750000,INTERIM MANPOWER SERVICES,Outline Agreement,2019,Q1Q2
SAFRAN ELECTRONICS & DEFENSE,FRA,9000000,TACP & FO  SPARES  DOCUMENTATION  TRAINING AND SERVICES,Outline Agreement,2019,Q1Q2
SANOFI PASTEUR,FRA,114555,SUPPLY OF VACCINES,Outline Agreement,2019,Q1Q2
SOGETI LUXEMBOURG SA,LUX,19000000,MICROSOFT CONSULTANCY SERVICES,Outline Agreement,2019,Q1Q2
SUREFIRE L.L.C,USA,443931,SUPPLY OF EAR PLUGS,Outline Agreement,2019,Q1Q2
TEKNE SRL,ITA,2143713,MLRS IMPROVED - UPGRADE,Outline Agreement,2019,Q1Q2
2091635 ONTARIO INC DOING BUSINESS,CAN,309203,PROVISIONS OF AMMUNITION,Orders Awarded,2019,Q1Q2
AIRBUS DEFENCE AND SPACE SA,ESP,223204,PROVISION OF SPARES FOR FIXED WIND AIRCRAFT,Orders Awarded,2019,Q1Q2
AIRBUS DEFENCE AND SPACE SA,ESP,275387,SUPPLY OF DIFFERENT SPARE PARTS FOR FIXED WIND AIRCRAFT,Orders Awarded,2019,Q1Q2
AIRBUS HELICOPTERS,FRA,148830,SUPPLY OF HOUSING  INDICATOR,Orders Awarded,2019,Q1Q2
ANG HAVA SAV BILI DAN TIC LTD STI,TUR,196112,SUPPLY OF CSDFDR,Orders Awarded,2019,Q1Q2
AQUALUNG ESPANA SL,ESP,87194,SUPPLY OF CRABE SPARES,Orders Awarded,2019,Q1Q2
BELL HELICOPTER SUPPLY CENTER BV,NLD,146078,SUPPLY OF BLADE  ROTARY RUDDER,Orders Awarded,2019,Q1Q2
BILIM ILAC SANAYII VE TICARET AS,TUR,387107,SUPPLY OF PHARMACEUTICALS,Orders Awarded,2019,Q1Q2
BLUE AEROSPACE LLC,USA,180738,SUPPLY  OF DIFFERENT SPARE PARTS,Orders Awarded,2019,Q1Q2
DENZAY MUH EN INS BIL SAN TIC LTD,TUR,341880,PROVISION OF ON-SITE QUALITY ASSURANCE SERVICES,Orders Awarded,2019,Q1Q2
DESSER TIRE & RUBBER CO,USA,242162,SUPPLY OF TIRE PNEUMATIC AIRCRAFT,Orders Awarded,2019,Q1Q2
DIGINEXT,FRA,222500,UPDATE OF TACT-X SIMULATOR PLATFORM,Orders Awarded,2019,Q1Q2
DOENGES GMBH & CO KG,DEU,131542,PROVISION OF HELICOPTER MK88A REPAIR TOOL KITS,Orders Awarded,2019,Q1Q2
ENSIGN-BICKFORD AEROSPACE & DEFENSE,USA,303244,PROVISION OF MK140 BOOSTER AND PRIMASHEET,Orders Awarded,2019,Q1Q2
ESG ELEKTRONIKSYSTEM- UND LOGISTIK,DEU,163505,SPARE PARTS FOR COBRA SYSTEM,Orders Awarded,2019,Q1Q2
ESPLODENTI SABINO SRL,ITA,987783,DEMILITARIZATION,Orders Awarded,2019,Q1Q2
EUROING,ALB,8988889,DESIGN AND BUILD SERVICES,Orders Awarded,2019,Q1Q2
EUROPAVIA ESPANA SA,ESP,422680,SUPPLY OF RING  BEARING,Orders Awarded,2019,Q1Q2
EXPAL SYSTEMS SA,ESP,830000,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
EXPAL SYSTEMS SA,ESP,313000,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
FEDERAL DEFENSE INDUSTRIES INC,USA,532989,SUPPLY OF MAIN GRIP ASSEMBLY,Orders Awarded,2019,Q1Q2
FEKA INSAAT SANAYI VE TIC AS,TUR,93459,ENTRY CONTROL POINT (ECP) RENOVATION,Orders Awarded,2019,Q1Q2
G&G PARTNERS SRL,ITA,125000,SUPPLY OF ONE POWER BOX,Orders Awarded,2019,Q1Q2
GENERAL DYNAMICS,CAN,403298,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
GENERAL DYNAMICS EUROPEAN,DEU,500000,PROVISION OF SECOND HAND UNIMOGS,Orders Awarded,2019,Q1Q2
GIRAITES GINKLUOTES GAMYKLA (AB),LTU,2353650,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
GLOBAL LOGISTICS SUPPORT GMBH,DEU,166429,SUPPLY OF SPARE PARTS LEOPARD,Orders Awarded,2019,Q1Q2
GLOBAL LOGISTICS SUPPORT GMBH,DEU,107004,SUPPLY OF SPARES FOR PHZ2000,Orders Awarded,2019,Q1Q2
HEINEN ELEKTRONIK GMBH,DEU,132079,SUPPLY OF SPARES FOR PHZ2000,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,127961,SUPPLY OF AIRFRAME COMPONENTS AND ACCESSORIES FOR FIXED AND ROTARY WING AIRCRAFTS,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,180261,SUPPLY OF SPARE PARTS FOR COUGAR HELICOPTER,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,115268,SUPPLY OF TRANSMISSION MECHANICAL,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,875809,SUPPLY SPINDLE  HEAD  ROTARY WING,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,81425,PROVISION OF SPARES,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,112979,SUPPLY OF PARTS KIT  GEARBOX,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,181269,SUPPLY OF PIN  SHOULDER  HEADLESS,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,1068541,SUPPLY OF AIRFRAME COMPONENTS AND ACCESSORIES FOR FIXED AND ROTARY WING AIRCRAFTS,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,1508606,SUPPLY OF TRANSMISSION  MECHANICAL  HELICOPTER,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,93296,PROCUREMENT OF ONE LOUDSPEAKER- AMPLIFIER,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,113695,SUPPLY OF SPARES FOR EC 120B  AS332 AND AS332B,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,371392,SUPPLY OF SPARE PARTS FOR AS332,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,795185,SUPPLY OF INSTRUMENTS AND LABORATORY EQUIPMENT,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,80523,SUPPLY OF WINDOW PANEL  AIRCRAFT,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,97646,SUPPLY OF INDICATOR  TEMPERATURE  THERMOCOUPLE,Orders Awarded,2019,Q1Q2
INDUSTRIE-HYDRAULIK VOGEL & PARTNER,DEU,267361,PROVISION OF SPARE PARTS FOR AMRAAM,Orders Awarded,2019,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,419597,PROVISION OF  SET PROCESSOR  SIGNAL SENSOR AND ELECTRO-OPTIC OF COUNTERMEASURES,Orders Awarded,2019,Q1Q2
INTERNATIONAL SOS UK LTD,GBR,13437143,SUPPLY OF PHARMACEUTICALS,Orders Awarded,2019,Q1Q2
IRD ENGINEERING SRL,ITA,319500,AOS PHASE 4 CONSTRUCTION SUPPORT SV- OPTION,Orders Awarded,2019,Q1Q2
IRD ENGINEERING SRL,ITA,702000,CONSTRUCTION PHASE SUPPORT SERVICES - REPAIR OF AIRFIELD OPERATING SURFACES,Orders Awarded,2019,Q1Q2
IRD ENGINEERING SRL,ITA,691694,ARCHITECTURAL AND ENGINEERING SERVICES (A&E) SERVICES,Orders Awarded,2019,Q1Q2
IRD ENGINEERING SRL,ITA,233911,A&E DESIGN SERVICES,Orders Awarded,2019,Q1Q2
IRD ENGINEERING SRL,ITA,180000,QA SERVICES,Orders Awarded,2019,Q1Q2
IRD ENGINEERING SRL,ITA,296900,PROVIDE RELIABLE POWER SOLUTION,Orders Awarded,2019,Q1Q2
KESZ KOZEP EUROPAI EPITO ES,HUN,569703,SAC HC-WP IMPROVEMENTS-MODIFICATION OF THREE OFFICES AND S01-HVAC IMPROVEMENTS,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,157160,SUPPLY OF PHZ2000 VEHICLE PARTS,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,138623,PROCUREMENT OF BOXER VEHICLE SPARE PARTS,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,98352,SUPPLY OF SPARES FOR PHZ2000,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,153392,PROVISION OF SPARE PARTS BOXER & MLRS,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,715647,PROVISION OF SPARE PARTS FOR BOXER VEHICLES,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,209385,PROVISION OF TIRES FOR BOXER GTK VEHICLE,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,999017,SUPPLY OF SUPPORT  LITTERS AND ADAPTER   LITTER  MOTOR VEHICLES,Orders Awarded,2019,Q1Q2
L-3 COMMUNICATION SYSTEMS-WEST,USA,446815,SUPPLY OF NIGHT VISION OPTRONIC,Orders Awarded,2019,Q1Q2
LEONARDO BELGIUM,BEL,116114,PROCUREMENT OF FREE WHEEL ASSEMBLY,Orders Awarded,2019,Q1Q2
M INTERNATIONAL EXPORT MINTEX INC,USA,129747,PROCUREMENT OF HOUSING ASSY ACTUATOR,Orders Awarded,2019,Q1Q2
MAKRO MEKANIK ELEKTRONIK BILISIM,TUR,121303,SUPPLY OF SPORTS CLOTHING AND GYM EQUIPMENT,Orders Awarded,2019,Q1Q2
MECHANICAL SPARE PARTS FRANCE SARL,FRA,256300,SUPPLY OF TIRES,Orders Awarded,2019,Q1Q2
MECHANISCHE WERKSTÄTTEN KOENIGSWART,DEU,187790,PROCUREMENT AND INSTALLATION OF SMALL ARMS BRASS GRANULATOR,Orders Awarded,2019,Q1Q2
MUGNAIONI PIROTECNICA INDUSTRIALE,ITA,131800,PURCHASE OF AMMUNITION,Orders Awarded,2019,Q1Q2
NAMMO PALENCIA SL,ESP,404649,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
NT ENGINEERING,UKR,111900,REMEDIATION SERVICES IN UKRAINE,Orders Awarded,2019,Q1Q2
OZM RESEARCH SRO,CZE,138990,SUPPLY OF EXPLOSIVES TEST MACHINE,Orders Awarded,2019,Q1Q2
PARTYARD LDA,PRT,3325334,PROVISION OF SECOND HAND UNIMOGS,Orders Awarded,2019,Q1Q2
PEGASUS SAVUNMA SANAYI VE TIC AŞ,TUR,99400,PROVISION OF HAWK SYSTEM COMPONENTS,Orders Awarded,2019,Q1Q2
RET UTILAJE SRL,ROU,703738,PROVISION OF INFRASTRUCTURE VEHICLES,Orders Awarded,2019,Q1Q2
RHEINMETALL LANDSYSTEME GMBH,DEU,484008,SUPPLY OF SPARES FOR PHZ2000,Orders Awarded,2019,Q1Q2
RHEINMETALL WAFFE MUNITION,DEU,459375,SUPPLY OF SPARES FOR PHZ2000,Orders Awarded,2019,Q1Q2
SAFRAN HELICOPTER ENGINES,FRA,287750,SUPPLY OF FUEL CONTROL,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,293250,HAWK COMPONENT PROCUREMENT,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,176400,HAWK COMPONENT PROCUREMENT,Orders Awarded,2019,Q1Q2
SIELMAN SA,GRC,144848,SUPPLY OF HAWK SPARES,Orders Awarded,2019,Q1Q2
SOI AVIATION,USA,265195,SUPPLY OF SPARES FOR F-16 AIRCRAFT,Orders Awarded,2019,Q1Q2
STV GROUP AS,CZE,4400000,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
SWECO LIETUVA UAB,LTU,1257227,ENGINEERING SERVICES (AES) FOR TRAINING AREA BUNDLE,Orders Awarded,2019,Q1Q2
TECNOBIT SLU,ESP,274874,PROVISION OF SPIKE SPARE PARTS,Orders Awarded,2019,Q1Q2
TOYOTA CENTER TBLISI LTD,GEO,405238,PROCUREMENT OF VARIOUS TYPE OF TOYOTA VEHICLES,Orders Awarded,2019,Q1Q2
UPB AS,LVA,9131867,CONSTRUCTION OF ADAZI DOMESTIC ACCOMODATION BLOCKS,Orders Awarded,2019,Q1Q2
UPB AS,LVA,3920398,CONSTRUCTION OF ADAZI DOMESTIC ACCOMODATION BLOCKS,Orders Awarded,2019,Q1Q2
US DYNAMICS CORPORATION,USA,373147,SPARE PARTS FOR THE SUPPORT OF ANFPS 117 RADAR SYSTEM,Orders Awarded,2019,Q1Q2
UTM LIMITED,GBR,339914,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
VAN HALTEREN SPECIAL PRODUCTS,NLD,95680,PROVISION OF SPARE PARTS FOR BOXER,Orders Awarded,2019,Q1Q2
VAREC NV,BEL,124450,PROCUREMENT OF LEOPARD SPARES,Orders Awarded,2019,Q1Q2
VINCORION,DEU,403535,OVERHAULD OF EPP 150 KW,Orders Awarded,2019,Q1Q2
VRU HAVACILIK EGITIM LIMITED,TUR,163400,SUPPLY OF SPORTS CLOTHING AND GYM EQUIPMENT,Orders Awarded,2019,Q1Q2
AERO NET PRODUCTION,FRA,656000,PROVISION OF AKN CONTAINERS ALUMINIUM DOORS,Outline Agreement,2019,Q1Q2
AEROEQUIPO LDA,PRT,11278800,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
AEROEQUIPO LDA,PRT,452334,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
ATCOR,GRC,700000,DLM  OSM AND PDS ON OPS  LSS AND TRSP ACCS SHELTERS,Outline Agreement,2019,Q1Q2
BLUE AEROSPACE LLC,USA,1132456,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
BRUKER ITALIA SRL,ITA,344000,SUPPLY  INSTALLATION & FOLLOW-ON SUPPORT OF AN X-RAY DIFFRACTOMETER,Outline Agreement,2019,Q1Q2
CAE AVIATION TRAINING BV,NLD,1175900,ATR 72-600 AIRCRAFT INITIAL PILOT TRAINING,Outline Agreement,2019,Q1Q2
CARWOOD MOTOR UNITS LTD,GBR,2645634,MLRS RRV (A/H/M) SUPPORT SERVICES,Outline Agreement,2019,Q1Q2
EMD EQUIPMENT METIERS DEFENSE,FRA,925000,PROVISION OF MEDICAL CONSUMABLES,Outline Agreement,2019,Q1Q2
EMPLY INTERNATIONAL APS,DNK,335000,E-RECRUITMENT SOFTWARE,Outline Agreement,2019,Q1Q2
ERICKSON INCORPORATED,USA,129255400,LEASING OF HEAVY LIFT FIREFIGHTING HELICOPTERS,Outline Agreement,2019,Q1Q2
ESPLODENTI SABINO SRL,ITA,107000000,PURCHASE OF AMMUNITION,Outline Agreement,2019,Q1Q2
EUROPEAN FINANCE & AEROSPACE,GRC,48000000,LEASING OF MEDIUM LIFT FIREFIGHTING HELICOPTERS,Outline Agreement,2019,Q1Q2
G3 SYSTEMS LTD,GBR,2354341,FBS FIRE PROTECTION SERVICES,Outline Agreement,2019,Q1Q2
GLOBAL DEFENSE LOGISTICS SRL,ROU,7000000,HUSBANDING SERVICES,Outline Agreement,2019,Q1Q2
J.P. SAUER & SOHN MASCHINENBAU GmbH,DEU,200000,PROVISION OF SPARE PARTS FOR AIR COMPRESSORS,Outline Agreement,2019,Q1Q2
JAS FORWARDING WORLDWIDE INC.,CAN,1326779,FREIGHT FORWARDING SERVICES,Outline Agreement,2019,Q1Q2
KEARSLEY AIRWAYS LTD,GBR,1771721,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
KEARSLEY AIRWAYS LTD,GBR,108857,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
LEM LAVORAZIONI ELETTRONICHE E,ITA,300000,DLM  OSM AND PDS ON GAG AND DCAOC SHELTERS,Outline Agreement,2019,Q1Q2
LEONARDO SPA HELICOPTERS DIVION,ITA,3652905,HH101 HELICOPTERS FLIGHT SIMULATOR TRAININGS,Outline Agreement,2019,Q1Q2
READINESS MANAGEMENT SUPPORT LC,USA,4241582,ATM SERVICES,Outline Agreement,2019,Q1Q2
RICARDO NEDERLAND BV,NLD,811470,CONSULTANCY CONTRACT FOR MULTINATIONAL RAILWAY TRANSPORT SYSTEM,Outline Agreement,2019,Q1Q2
RUAG DEFENCE DEUTSCHLAND GMBH,DEU,300000,INSPECTION AND REPAIR OF LEOPARD ITEMS,Outline Agreement,2019,Q1Q2
SCA SHIPPING CONSULTANTS,GBR,20000000,HUSBANDING SERVICES,Outline Agreement,2019,Q1Q2
SCA SHIPPING CONSULTANTS,GBR,2674250,HUSBANDING SERVICES,Outline Agreement,2019,Q1Q2
SHARKMED OY,FIN,2275000,PROVISION OF MEDICAL CONSUMABLES,Outline Agreement,2019,Q1Q2
SIELMAN SA,GBR,400000,INSPECTION AND REPAIR OF LEOPARD ITEMS,Outline Agreement,2019,Q1Q2
STAR DEFENCE LOGISTICS &,ESP,450000,INSPECTION AND REPAIR OF LEOPARD ITEMS,Outline Agreement,2019,Q1Q2
SUMMIT AEROSPACE,USA,150440,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
SUYFA DEFENCE S.L,SPA,200000,PROVISION OF SPARE PARTS FOR AIR COMPRESSORS,Outline Agreement,2019,Q1Q2
SUYFA DEFENCE S.L,ESP,450000,PROVISION OF MEDICAL CONSUMABLES,Outline Agreement,2019,Q1Q2
WESCO MANUFACTURING INC,USA,1619131,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
WESCO MANUFACTURING INC,USA,1675414,INSPECTION  REPAIR AND OVERHAUL OF VARIOUS C-130-P3 AIRCRAFT COMPONENTS,Outline Agreement,2019,Q1Q2
ACAL BFI BELGIUM SA,BEL,86976,PROVISION OF MLRS SPARE PARTS,Orders Awarded,2019,Q3Q4
ACROW GLOBAL LIMITED TRADING AS,GBR,256244,SPARE ACCESSORIES FOR LOGISTIC BRIDGES,Orders Awarded,2019,Q3Q4
ACSE GMBH,DEU,251189,SUPPLY AND INSTALLATION OF DOWNLINK KIT FOR H145M  HELICOPTERS,Orders Awarded,2019,Q3Q4
AEROSPACE LOGISTICS LTD (ASL),GBR,120305,SUPPLY OF CAMERA DI COMBUSTION,Orders Awarded,2019,Q3Q4
AEROSPACE LOGISTICS LTD (ASL),GBR,678121,PROCUREMENT OF SPARE PARTS FOR AIRCRAFT MODEL MB339,Orders Awarded,2019,Q3Q4
AIRBUS DEFENCE AND SPACE SAS FRANCE,FRA,126246,SUPPLY OF SPARE PARTS FOR MLRS SYSTEM,Orders Awarded,2019,Q3Q4
AIRBUS DEFENSE AND SPACE,DEU,87775,SUPPLY OF SPARES FOR MLRS,Orders Awarded,2019,Q3Q4
AIRBUS HELICOPTERS,FRA,217870,SUPPLY OF BLADE ROTARY WING,Orders Awarded,2019,Q3Q4
AIRBUS HELICOPTERS,FRA,5547258,INSPECTION/REPAIR/OVERHAUL OF GEARBOXES FOR COUGAR HELICOPTERS,Orders Awarded,2019,Q3Q4
AIRBUS HELICOPTERS,FRA,80958,SUPPLY OF ANTENNA ASSEMBLY,Orders Awarded,2019,Q3Q4
AIRBUS MILITARY SERVICES HAVACILIK,TUR,146705,SUPPLY OF KIT,Orders Awarded,2019,Q3Q4
AIRBUS MILITARY SERVICES HAVACILIK,TUR,858551,SUPPLY OF PISTON & AIRCRAFT COMPONENTS MODIFICATION KIT  AIRFRAME,Orders Awarded,2019,Q3Q4
AIRBUS MILITARY SERVICES HAVACILIK,TUR,93243,SUPPLY OF SPARE PARTS,Orders Awarded,2019,Q3Q4
ALL-SYSTEM AEROSPACE INT'L INC,USA,557742,SUPPLY OF SPARES FOR HELICOPTER S-76,Orders Awarded,2019,Q3Q4
ARCERS LTD,LVA,5496788,DESIGN AND BUILDING OF SEMI-PERMANENT AND PERMANENT INFRASTRUCTURE,Orders Awarded,2019,Q3Q4
ARNDT AUTOMOBILE GMBH,DEU,312320,DEPLOYMENT OF VEHICLES - MINIBUS,Orders Awarded,2019,Q3Q4
AVIALL INC,FRA,87192,SUPPLY OF CASE  DIFFUSER  AIRCRAFT GAS TURBINE ENGIN FOR A/C OH58,Orders Awarded,2019,Q3Q4
AVIATION AND DEFENCE SPARES LTD,GBR,109242,PROVISION OF SPARE PARTS FOR AS532 HELICOPTER,Orders Awarded,2019,Q3Q4
BELL HELICOPTER SUPPLY CENTER BV,NLD,123415,PROCUREMENT OF GRIP ASSEMBLY  MAIN FOR HELICOPTER MODEL UH-1H,Orders Awarded,2019,Q3Q4
BELL HELICOPTER SUPPLY CENTER BV,NLD,220081,SUPPLY OF BEARING BALL   DUPLEX  MAST ASSEMBLY YOKE ASSEMBLY  ROTOR,Orders Awarded,2019,Q3Q4
